Week,Update Date,Cumulative Cases,Data Reported,t
9/21/2025,9/21/2025,1,,0
9/28/2025,1/29/2025,4,Y,11
10/12/2025,2/28/2025,20,Y,40
10/19/2025,3/4/2025,25,Y,44
10/26/2025,3/7/2025,34,Y,47
11/2/2025,3/11/2025,43,Y,50
11/9/2025,3/14/2025,46,Y,54
11/16/2025,3/18/2025,56,Y,57
11/23/2025,3/21/2025,79,Y,61
11/30/2025,3/25/2025,103,Y,64
12/7/2025,3/28/2025,136,Y,68
12/14/2025,4/1/2025,150,Y,71
12/21/2025,4/4/2025,174,Y,75
12/28/2025,4/9/2025,210,Y,78
1/04/2026,4/11/2025,396,Y,83
1/11/2026,4/15/2025,599,Y,85
1/18/2026,4/18/2025,771,Y,89
1/25/2026,4/22/2025,866,Y,92
2/01/2026,4/25/2025,937,Y,96
2/08/2026,4/29/2025,954,Y,99
2/15/2026,5/2/2025,977,Y,103
2/22/2026,5/6/2025,990,Y,106
3/01/2026,5/9/2025,992,Y,110
3/08/2026,5/13/2025,997,Y,113
