"","CTYNAME","age_grp","N0","V0_1","V0_2","V0_3","V0_4","V0_5","V0_6","V0_7","S0_1","S0_2","S0_3","S0_4","S0_5","S0_6","S0_7","R0","theta_1","theta_2","theta_3","theta_4","theta_5","theta_6","theta_7"
"1","Anderson","0_4",3009,2943,2492,2932,3009,2793,2642,3009,66,517,77,0,216,367,0,0,1,1,1,2,1,1,2
"2","Anderson","20",45233,44245,37460,44073,45233,41984,39722,45233,988,7773,1160,0,3249,5511,0,0,0,0,0,0,0,0,0
"3","Anderson","5_19",9494,7527,6373,7497,7692,7142,6757,7692,1967,3121,1997,1802,2352,2737,1802,0,0,0,0,0,0,0,0
"4","Andrews","0_4",1473,1454,1233,1435,1473,1380,1306,1473,19,240,38,0,93,167,0,0,1,1,1,1,1,1,1
"5","Andrews","20",12344,12183,10331,12027,12344,11566,10949,12344,161,2013,317,0,778,1395,0,0,0,0,0,0,0,0,0
"6","Andrews","5_19",4847,3958,3357,3908,4011,3758,3557,4011,889,1490,939,836,1089,1290,836,0,0,0,0,0,0,0,0
"7","Angelina","0_4",5759,5623,4759,5611,5759,5335,5047,5759,136,1000,148,0,424,712,0,0,3,3,3,3,3,3,3
"8","Angelina","20",63009,61524,52072,61393,63009,58373,55223,63009,1485,10937,1616,0,4636,7786,0,0,0,0,0,0,0,0,0
"9","Angelina","5_19",18551,14608,12365,14577,14843,13860,13113,14939,3943,6186,3974,3708,4691,5438,3612,0,0,0,0,0,0,0,0
"10","Aransas","0_4",1123,1104,936,1094,1123,1048,992,1123,19,187,29,0,75,131,0,0,1,1,1,1,1,1,1
"11","Aransas","20",20392,20050,16991,19869,20392,19030,18011,20392,342,3401,523,0,1362,2381,0,0,0,0,0,0,0,0,0
"12","Aransas","5_19",3859,3096,2624,3069,3149,2939,2781,3149,763,1235,790,710,920,1078,710,0,0,0,0,0,0,0,0
"13","Archer","0_4",468,458,388,456,468,435,411,468,10,80,12,0,33,57,0,0,0,0,0,0,0,0,0
"14","Archer","20",6800,6659,5639,6626,6800,6319,5979,6800,141,1161,174,0,481,821,0,0,0,0,0,0,0,0,0
"15","Archer","5_19",1761,1427,1209,1420,1449,1355,1282,1456,334,552,341,312,406,479,305,0,0,0,0,0,0,0,0
"16","Armstrong","0_4",109,105,89,106,109,100,94,109,4,20,3,0,9,15,0,0,0,0,0,0,0,0,0
"17","Armstrong","20",1386,1337,1130,1350,1386,1268,1199,1386,49,256,36,0,118,187,0,0,0,0,0,0,0,0,0
"18","Armstrong","5_19",337,270,228,273,278,256,242,278,67,109,64,59,81,95,59,0,0,0,0,0,0,0,0
"19","Atascosa","0_4",3433,3398,2883,3345,3433,3227,3055,3433,35,550,88,0,206,378,0,0,2,2,2,2,2,2,2
"20","Atascosa","20",36572,36204,30718,35634,36572,34375,32546,36572,368,5854,938,0,2197,4026,0,0,0,0,0,0,0,0,0
"21","Atascosa","5_19",11779,9461,8027,9314,9556,8983,8505,9556,2318,3752,2465,2223,2796,3274,2223,0,0,0,0,0,0,0,0
"22","Austin","0_4",1827,1777,1503,1780,1827,1686,1594,1827,50,324,47,0,141,233,0,0,1,1,1,1,1,1,1
"23","Austin","20",23518,22875,19347,22915,23518,21699,20523,23518,643,4171,603,0,1819,2995,0,0,0,0,0,0,0,0,0
"24","Austin","5_19",6332,5051,4273,5060,5172,4792,4532,5184,1281,2059,1272,1160,1540,1800,1148,0,0,0,0,0,0,0,0
"25","Bailey","0_4",559,553,469,545,559,525,497,559,6,90,14,0,34,62,0,0,0,0,0,0,0,0,0
"26","Bailey","20",4469,4421,3750,4354,4469,4197,3974,4469,48,719,115,0,272,495,0,0,0,0,0,0,0,0,0
"27","Bailey","5_19",1644,1289,1094,1270,1303,1224,1159,1303,355,550,374,341,420,485,341,0,0,0,0,0,0,0,0
"28","Bandera","0_4",897,865,731,874,897,821,776,897,32,166,23,0,76,121,0,0,1,0,1,1,1,0,1
"29","Bandera","20",18458,17808,15039,17985,18458,16885,15962,18458,650,3419,473,0,1573,2496,0,0,0,0,0,0,0,0,0
"30","Bandera","5_19",3282,2596,2192,2623,2680,2461,2327,2687,686,1090,659,602,821,955,595,0,0,0,0,0,0,0,0
"31","Bastrop","0_4",7173,6976,5900,6989,7173,6618,6259,7173,197,1273,184,0,555,914,0,0,4,3,4,4,4,3,4
"32","Bastrop","20",79116,76946,65078,77087,79116,72990,69034,79116,2170,14038,2029,0,6126,10082,0,0,0,0,0,0,0,0,0
"33","Bastrop","5_19",24489,19270,16298,19314,19808,18279,17289,19808,5219,8191,5175,4681,6210,7200,4681,0,0,0,0,0,0,0,0
"34","Baylor","0_4",198,194,165,193,198,184,174,198,4,33,5,0,14,24,0,0,0,0,0,0,0,0,0
"35","Baylor","20",2620,2570,2177,2553,2620,2439,2308,2620,50,443,67,0,181,312,0,0,0,0,0,0,0,0,0
"36","Baylor","5_19",645,519,440,515,526,493,466,527,126,205,130,119,152,179,118,0,0,0,0,0,0,0,0
"37","Bee","0_4",1571,1556,1320,1531,1571,1477,1399,1571,15,251,40,0,94,172,0,0,1,1,1,1,1,1,1
"38","Bee","20",23735,23506,19946,23126,23735,22320,21133,23735,229,3789,609,0,1415,2602,0,0,0,0,0,0,0,0,0
"39","Bee","5_19",5544,4228,3588,4161,4268,4015,3801,4268,1316,1956,1383,1276,1529,1743,1276,0,0,0,0,0,0,0,0
"40","Bell","0_4",30378,29708,25151,29599,30378,28189,26670,30378,670,5227,779,0,2189,3708,0,0,16,14,16,17,16,15,17
"41","Bell","20",274490,268437,227264,267450,274490,254713,240988,274490,6053,47226,7040,0,19777,33502,0,0,0,0,0,0,0,0,0
"42","Bell","5_19",88325,70410,59609,70151,72003,66810,63209,72003,17915,28716,18174,16322,21515,25116,16322,0,0,0,0,0,0,0,0
"43","Bexar","0_4",132764,130246,110331,129359,132764,123608,116970,132764,2518,22433,3405,0,9156,15794,0,0,69,58,68,72,65,61,72
