CTYNAME,0_4,5_19,20_,Cum_inf,Cum_inf_low,Cum_inf_high,Cum_inf_0,Cum_inf_0_low,Cum_inf_0_high,Cum_inf_1,Cum_inf_1_low,Cum_inf_1_high,Cum_inf_2,Cum_inf_2_low,Cum_inf_2_high,Cum_Hosp,Cum_Hosp_low,Cum_Hosp_high,Cum_Hosp_0,Cum_Hosp_0_low,Cum_Hosp_0_high,Cum_Hosp_1,Cum_Hosp_1_low,Cum_Hosp_1_high,Cum_Hosp_2,Cum_Hosp_2_low,Cum_Hosp_2_high
Anderson,3009,9494,45233,322.9517508677262,286.76685323020916,354.9816237394486,119.11817671296748,104.83397738007741,130.9158268451909,161.4146702273285,143.84714686412207,176.75925631176537,42.44577755323626,36.56578814609322,47.29039645898102,61.822639878104425,54.19868722429942,68.39753309469238,33.886119919300434,29.748796044825543,37.36120285878916,20.690343365851,18.414455050445937,23.01472173725909,7.028777772121021,5.943839870353328,7.9747917530322665
Andrews,1473,4847,12344,129.16989675901786,117.26729509355658,145.81332245369362,53.334689656460284,48.27365259796238,60.77367899105686,67.61999826130129,61.68760371177755,75.89317898850994,8.097047199030229,7.188809270328547,9.322061600736582,25.177580539880708,22.85863916237978,28.79032348924301,15.13829211386923,13.717070532578564,17.376158005746287,8.749339379294497,7.818501587490567,9.823074323796952,1.346202752556,1.1786994926417724,1.5799124685541537
Angelina,5759,18551,63009,591.1936880475956,510.13273524852735,653.9966444477305,220.0049942990836,187.6751753311796,241.60091636318558,313.2317785286391,273.68878875022006,346.7937509109388,57.81089652903051,49.24432868767303,64.67888163570632,111.99235708317883,95.25763831590804,124.51343468565796,62.42739890574349,53.12103722904332,69.32367405114746,40.14025310531552,34.38891671317463,45.091192902112375,9.498648239046698,7.86028381523188,10.779881082776425
Aransas,1123,3859,20392,127.14898535493714,110.78744079452039,139.47219389527945,46.565656688040264,40.578324270143376,51.07325638996397,63.23942220863308,55.74006343228362,69.5204088524644,17.19977025518524,14.890293366101647,19.29489541047745,24.32019955437427,20.99479923341418,27.071681301923135,13.260624636408817,11.500134841496228,14.805289476850744,8.213870513971028,7.20819603483458,9.16158101861162,2.8655855815052256,2.501313355199754,3.2988999224585442
Archer,468,1761,6800,53.77181606071309,46.70598382858175,60.1796034026413,19.203204462751653,16.642813149989717,21.48802208063405,28.165534514917205,24.443273336871343,31.570515090291952,6.447446772433948,5.469499589491741,7.394239917026732,10.36232436485895,8.89522023165313,11.736923016658146,5.516878955378347,4.731959871719086,6.3029498283153265,3.7400093936978345,3.2157109285958096,4.179773366575121,1.0899579502567582,0.9001872602165596,1.2639750687267717
Armstrong,109,337,1386,13.290954167962187,11.90780373277671,14.758974730700146,5.05121060845762,4.53161560513512,5.622162548596777,6.188507633124634,5.56130428252342,6.839443608382877,2.037651537415329,1.8201527698675024,2.323294464691575,2.7074315961708892,2.39906525480856,3.0852888158923424,1.4606817891006014,1.2931974246359486,1.6564467413583734,0.9015995840676744,0.8016373721773448,1.017944700842812,0.3457619310743936,0.3041206835649363,0.3972010002487369
Atascosa,3433,11779,36572,315.8884565932656,282.42138011812335,357.64067467850685,121.03692585952773,107.54452176698531,137.61574190741212,172.637715423275,155.38264245475327,193.6454648031161,21.95741935802365,19.26551891924181,25.700412173482054,59.90578296816024,52.94320566939993,68.9044071566273,34.32512477615707,30.35237735173603,39.4429810280468,21.94605454964402,19.283387137787873,25.188920409758122,3.5873799424757804,3.112037748192586,4.2951688743921315
Austin,1827,6332,23518,203.24159787430034,177.92039921818542,222.69351023456144,73.43098765675043,64.32404486238941,80.81584180735612,105.51773117389115,92.61378442708745,116.05876839214604,24.20090059702156,20.691789343689518,27.37777572936772,38.581716121045346,33.57337480620248,42.93446729479371,20.916946410364538,18.18170547083338,23.255557278158218,13.646702422382024,11.811845205017992,15.17566920155288,4.025915666078387,3.405799111818646,4.621534583415318
Bailey,559,1644,4469,60.31266674094027,53.5426392682545,67.12898360905905,24.676418469202574,21.9584368881185,27.667410094368773,31.61164960737718,28.062867207624663,35.07265237305521,3.9606129311102416,3.479034232058882,4.482618623036454,12.002028281574798,10.697737298960222,13.511111373510362,7.114124722090985,6.330757802228919,8.042995070151461,4.187049720212405,3.7035282311696376,4.68968705332383,0.6673693905419071,0.5798903925688499,0.7636598486224513
Bandera,897,3282,18458,123.8172356885805,108.25623115271843,136.35471369805344,40.20484829130379,35.36298408522244,44.35859505598381,59.53553669771709,52.44752100518686,65.40470507850975,24.08588237619678,20.44782753429234,27.02442293585482,23.4015455507258,20.127569341174212,26.05446124641932,11.574170487470312,9.95205636462618,12.88789940485244,7.782556492823915,6.778456639702462,8.628439339236904,4.03991423487216,3.422695525613971,4.6657875366285975
Bastrop,7173,24489,79116,741.1457244148689,661.5839770648972,837.8530809513234,263.25413134353334,234.39833921887333,300.70811146325616,403.25275960769454,362.0283212129045,454.4717410786567,74.69937629863219,64.43986998092474,87.22138954627577,138.3429456903546,121.27105571679996,158.73518983343783,74.50904935137186,65.58677285329635,86.00378909258151,51.591559545941664,45.15550862159456,58.431593393762654,12.225726851074622,10.496234330137035,14.373418820432837
Baylor,198,645,2620,22.724611893104267,19.723095893495586,25.148857745077553,8.739552653183459,7.604283199928066,9.690118981709519,11.320681956363249,9.862018641754656,12.372537908722466,2.6903196810154113,2.3010268325105283,3.0943937576590166,4.540762991346672,3.9319463250256317,5.114745178841024,2.5242768064300467,2.201491136920771,2.8638507320797992,1.559226768133185,1.357309865438106,1.7612098495072614,0.4547945330108718,0.3767866008693931,0.5394203128911698
Bee,1571,5544,23735,213.75421674152986,189.45416499267864,235.4589568575729,73.74032223038367,65.03407784130084,81.34872686997952,117.88567859139312,105.25276560808261,130.40839771044747,21.31982960582045,18.51800146523205,24.188054639869932,39.798036626057254,35.31302829226411,44.378849187203905,21.01441269465957,18.63140919725179,23.33379590457091,15.308586999273743,13.462357057115415,17.07522096316882,3.596201764038311,3.0833807522800005,4.0608551284353736
Bell,30378,88325,274490,1796.981553935476,1515.193718993636,2081.071794077285,698.616441635159,583.6542765089958,820.5323722560187,969.7955062761996,824.8395834826946,1110.3176125174589,132.47271632938427,106.51813952203361,158.38846281331587,328.74161846600384,273.9080845081562,389.9663781097446,190.3182888531188,157.31118592442198,227.00234042437987,117.84097867613974,98.92599910728876,139.14759479074334,20.740425384801533,16.680064433930685,25.217978947659997
Bexar,132764,438364,1516551,6158.397952298387,4662.04429073619,7380.3827496403665,1999.594064220968,1498.5645229827057,2437.5898993024903,3723.8587075379364,2841.291937486635,4400.934724584904,439.9797132861669,327.6130723686964,550.5919506977934,1021.6175449643134,770.55503335406,1274.2141039633273,526.9881824293398,393.6083351279088,651.8365545034433,431.3878758633041,323.8994048648778,533.2897085141434,66.08949431025795,49.10026954228782,84.53208320362985
Blanco,495,1887,10666,103.38313769729568,90.60733370818942,115.31002470014425,25.85416630570137,22.887118935813454,28.69228644112938,46.90208411749877,41.39459935923538,51.813409739653245,30.606626152146823,26.63504372003772,35.19214062270409,18.837231673110082,16.3079781718088,21.20672004554232,7.442089519573903,6.496631805950734,8.356588891496333,6.195312698957265,5.419597303343705,6.988946915323598,5.220541269987338,4.426238029559952,6.001605243883628
Borden,24,108,440,4.825174939462393,4.255094031395858,5.29709715692401,1.289107496818474,1.1379970149118053,1.4179958131880626,2.6487420125046937,2.346264680084347,2.914962409623392,0.889257163687571,0.7653508444656885,0.9910442970516703,0.961389435930472,0.8370474407921622,1.0717802775194762,0.37257602674994494,0.32431021103537383,0.4139000280143093,0.44043138049731434,0.3822294316503191,0.4911083885119345,0.15142482584707764,0.12679279232571272,0.17324359094704694
Bosque,924,3369,14703,115.78829103630395,100.4366948122199,127.5617394048461,40.325240786589994,35.004305021996736,44.46352147599007,58.129092472970584,50.897093419980465,63.78856898836123,17.296570329592704,15.1519598296115,19.638284147471747,22.102676347653222,18.84417461753199,24.744660925481814,11.569213456395351,9.894162266839539,12.936178942557198,7.602041300243332,6.518930501812602,8.485653245296207,2.9042318627852,2.468380493407176,3.311852158013145
Bowie,5420,18454,67813,567.2163629701093,501.0185506024265,637.7236921664381,201.67218258673574,176.75348366799994,227.86185985374345,301.5922413524838,264.6488985433377,334.58122133466867,65.24669748548106,54.82183208349111,76.31825818713908,106.26307523267631,91.81432372591814,121.81429527144498,56.87309671970833,49.50007441062347,65.59863690652816,38.52380887899648,33.82614153979678,43.705198299673285,10.711844075557593,8.769859029392215,13.010318461480894
Brazoria,24868,86319,287751,1486.4097464722067,1216.0007859813418,1728.8513271461238,519.091174747168,416.6548613230924,605.5188127244296,846.2508748103188,699.36347480635,977.132797373897,118.75071034146572,94.10976249655329,144.9206530260052,262.5856377588457,210.40795404797908,312.9210392738727,140.78982032808267,111.75694204296815,170.2278160426348,102.68563947624344,83.30316028538348,122.39152692761132,18.55048058835257,14.471479821010616,22.996927765173485
Brazos,13372,54902,176429,3184.2559886833783,2863.7009302155075,3457.836990500091,789.5632547270509,710.0122829371181,859.8306185561416,2093.8590772227562,1887.328107624779,2278.069769258243,302.7245975519934,271.6231466879992,341.7077570823663,552.7536565467094,495.91148940998045,612.2088232176551,228.58512671860393,205.11930334549228,251.83734321731143,271.43516053348134,243.9503953523644,303.1748549185849,51.23373698204513,45.404431597783244,59.03664203025027
Brewster,431,1620,7462,103.31516875798634,92.99505112762587,114.82424860041223,24.874550777862034,22.388131665916337,27.598828117415223,57.607766976273275,51.550663255026215,63.57016150513258,21.053386691872632,18.514886861699832,23.84191232127326,18.406911025791473,16.28350621195561,20.490486231655584,7.216403885727656,6.416877262517184,7.988458818049049,7.555572459520421,6.71222347832368,8.377088881362232,3.5938287471942543,3.0886557517511073,4.11172240961346
Briscoe,78,266,1101,10.969346867754453,9.80514022450909,11.985273761213099,3.752215549688831,3.3680777195990372,4.119431472041181,5.103458699271806,4.566546900513857,5.556626792093719,2.1135572139708474,1.8302114097257454,2.341046527654986,2.201394335103547,1.940452707805074,2.4200591297450007,1.086308688074391,0.9560600786542701,1.2009973152518745,0.7551166538536096,0.6732365265452589,0.8380790163352984,0.35740165240144317,0.3044435499865285,0.4037466507052308
Brooks,453,1465,4930,47.52549856531756,42.054699593812344,52.699294679019296,18.886174622369087,16.748296240301528,20.992817351203858,25.12175045028577,22.287900042750998,27.750414887513923,3.5378195585577963,3.039279190064722,4.017997148594403,9.37534090415576,8.271077903220919,10.5205345874492,5.448196825537179,4.817256738379927,6.1278569849792355,3.343387527649168,2.951527271425344,3.752729340877974,0.6013126830796673,0.5054910007323447,0.6809498611618137
Brown,2126,6834,29749,289.70022937465967,256.2619311282785,319.6163062083745,99.4370841236902,87.78355646304458,110.30914489416561,150.55519781571385,133.6121473069652,165.50937800801498,39.594542472007745,34.80241795704064,44.1111697422023,54.65184246358925,47.83692701779063,61.24228438181209,28.569276196933135,24.989418571822018,32.07168635437001,19.44810183173534,17.123827716219758,21.90218681023692,6.617248966553779,5.756352968656074,7.6042647501920095
